source,type,timestamp,packet_id,src,dst,hops,from_dir,to_dir,creation_time,deliver_time,traffic,weight
router,packet_routed,2025-09-13 12:45:08.718218,19,,,0,local,north,,,0.02,
router,packet_routed,2025-09-13 12:45:09.993803,18,,,0,west,local,,,0.02,
router,packet_routed,2025-09-13 12:45:10.472479,19,,,0,south,west,,,0.02,
router,packet_routed,2025-09-13 12:45:10.958715,20,,,0,local,south,,,0.02,
packet,packet_arrived,2025-09-13 12:45:11.515152,16,"(1, 1)","(0, 0)",3,,,2025-09-13 12:44:57,2025-09-13 12:45:11,0.02,52.85
packet,packet_arrived,2025-09-13 12:45:11.705038,17,"(0, 0)","(1, 0)",2,,,2025-09-13 12:44:59,2025-09-13 12:45:11,0.02,34.17
router,packet_routed,2025-09-13 12:45:11.870371,21,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:45:12.086992,19,,,0,east,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:12.720227,18,"(1, 1)","(2, 2)",3,,,2025-09-13 12:45:02,2025-09-13 12:45:12,0.02,56.37
router,packet_routed,2025-09-13 12:45:13.237928,21,,,0,north,east,,,0.02,
router,packet_routed,2025-09-13 12:45:13.920392,20,,,0,north,local,,,0.02,
router,packet_routed,2025-09-13 12:45:15.508377,22,,,0,local,north,,,0.02,
router,packet_routed,2025-09-13 12:45:15.703528,23,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:45:16.033741,21,,,0,west,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:16.224360,19,"(1, 1)","(0, 0)",3,,,2025-09-13 12:45:04,2025-09-13 12:45:16,0.02,52.85
router,packet_routed,2025-09-13 12:45:16.892215,24,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:45:17.043550,22,,,0,south,west,,,0.02,
router,packet_routed,2025-09-13 12:45:17.932404,23,,,0,north,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:18.076579,20,"(0, 0)","(1, 0)",2,,,2025-09-13 12:45:06,2025-09-13 12:45:18,0.02,34.17
router,packet_routed,2025-09-13 12:45:18.656096,25,,,0,local,north,,,0.02,
router,packet_routed,2025-09-13 12:45:19.344018,24,,,0,north,east,,,0.02,
router,packet_routed,2025-09-13 12:45:20.128742,22,,,0,east,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:20.510776,21,"(1, 1)","(2, 2)",3,,,2025-09-13 12:45:08,2025-09-13 12:45:20,0.02,56.37
router,packet_routed,2025-09-13 12:45:21.226108,25,,,0,south,west,,,0.02,
router,packet_routed,2025-09-13 12:45:21.364631,26,,,0,local,south,,,0.02,
packet,packet_arrived,2025-09-13 12:45:22.886328,23,"(0, 0)","(1, 0)",2,,,2025-09-13 12:45:12,2025-09-13 12:45:22,0.02,34.17
router,packet_routed,2025-09-13 12:45:23.714964,24,,,0,west,local,,,0.02,
router,packet_routed,2025-09-13 12:45:24.646221,27,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:45:25.550052,25,,,0,east,local,,,0.02,
packet,packet_arrived,2025-09-13 12:45:25.817690,22,"(1, 1)","(0, 0)",3,,,2025-09-13 12:45:11,2025-09-13 12:45:25,0.02,52.85
router,packet_routed,2025-09-13 12:45:26.352571,26,,,0,north,local,,,0.02,
